sku_id,date,units_sold,rf_forecast,gbr_forecast,seasonal_naive_forecast
SKU00001,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00002,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00010,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00014,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00016,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00020,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00024,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00030,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00036,2025-04-06,0,0.009112065444831355,0.06547102028169147,0.0
SKU00038,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00047,2025-04-06,0,0.01348917743315063,0.06595581840297769,0.0
SKU00048,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00050,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00055,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00060,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00062,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00072,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00074,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00075,2025-04-06,3,0.053678320796683415,0.05274213959539555,0.0
SKU00077,2025-04-06,1,0.053678320796683415,0.05274213959539555,0.0
SKU00079,2025-04-06,1,0.04473952192057073,0.062105083175219615,2.0
SKU00102,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00126,2025-04-06,2,0.053678320796683415,0.05274213959539555,0.0
SKU00127,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00131,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00143,2025-04-06,0,0.6523437148553423,0.06601395427764255,0.0
SKU00146,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00163,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00166,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00169,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00171,2025-04-06,0,0.005343695031851666,0.06547102028169147,0.0
SKU00179,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00180,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
SKU00189,2025-04-06,0,0.053678320796683415,0.05274213959539555,0.0
